Acronym,Name,Hemisphere ID
Right: SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",3
Left: SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",3
Right: SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",3
Left: SSs1,"Supplemental somatosensory area, layer 1",3
Right: SSs1,"Supplemental somatosensory area, layer 1",3
Left: SSs2/3,"Supplemental somatosensory area, layer 2/3",3
Right: SSs2/3,"Supplemental somatosensory area, layer 2/3",3
Left: SSs4,"Supplemental somatosensory area, layer 4",3
Right: SSs4,"Supplemental somatosensory area, layer 4",3
Left: SSs5,"Supplemental somatosensory area, layer 5",3
Right: SSs5,"Supplemental somatosensory area, layer 5",3
Left: SSs6a,"Supplemental somatosensory area, layer 6a",3
Right: SSs6a,"Supplemental somatosensory area, layer 6a",3
Left: SSs6b,"Supplemental somatosensory area, layer 6b",3
Right: SSs6b,"Supplemental somatosensory area, layer 6b",3
Left: GU1,"Gustatory areas, layer 1",3
Right: GU1,"Gustatory areas, layer 1",3
Left: GU2/3,"Gustatory areas, layer 2/3",3
Right: GU2/3,"Gustatory areas, layer 2/3",3
Left: GU4,"Gustatory areas, layer 4",3
Right: GU4,"Gustatory areas, layer 4",3
Left: GU5,"Gustatory areas, layer 5",3
Right: GU5,"Gustatory areas, layer 5",3
Left: GU6a,"Gustatory areas, layer 6a",3
Right: GU6a,"Gustatory areas, layer 6a",3
Left: GU6b,"Gustatory areas, layer 6b",3
Right: GU6b,"Gustatory areas, layer 6b",3
Left: VISC1,"Visceral area, layer 1",3
Right: VISC1,"Visceral area, layer 1",3
Left: VISC2/3,"Visceral area, layer 2/3",3
Right: VISC2/3,"Visceral area, layer 2/3",3
Left: VISC4,"Visceral area, layer 4",3
Right: VISC4,"Visceral area, layer 4",3
Left: VISC5,"Visceral area, layer 5",3
Right: VISC5,"Visceral area, layer 5",3
Left: VISC6a,"Visceral area, layer 6a",3
Right: VISC6a,"Visceral area, layer 6a",3
Left: VISC6b,"Visceral area, layer 6b",3
Right: VISC6b,"Visceral area, layer 6b",3
